FORM_ID,FORM_NAME
202MRSD,MARSHALL DENSE
202MRSL,MARSHALL
202MRSLL,MARSHALL LOWER
202MRSLU,MARSHALL UPPER
202MRSLZ,MARSHALL ZONE
202MSWDV,MCLISH / WOODFORD / VIOLA
202MTBHW,MCLISH / TULIP CREEK / BROMIDE 2 / HUNTON / WOODFORD / SYCAM
202MTBVH,MCLISH / TULIP CREEK / BROMIDE/ VIOLA / HUNTON
202MTCBS,MCLISH/TULIP CREK/BROMDE 2/BROMDE 1/VIOLA/HUNTN/WODFD/SYCMOR
202MTCBV,MCLISH/TULIP CREEK/BROMIDE2/BROMIDE1/VIOLA
202MTVWS,MCLISH/TULIP CK/BROMIDE/VIOLA/HNTN/WOODFD/SYCMR
202MUBWS,MCSHU/MCLSH/OILCREEKLWER/BRMIDELWER/BROMIDE/WOODFORD/SYCAMOR
202MVHMR,MCLISH / VIOLA / HUNTON / MORRIS / DES MOINES
202MWHVB,MCLISH / WOODFORD / HUNTON / VIOLA / BROMIDE
202NLSN,NELSON
202OCKB,OIL CREEK BASAL /SD/
202OCKBL,OIL CREEK BASAL LOWER
202OCKBU,OIL CREEK BASAL UPPER
202OCKO,OIL CREEK OOLITIC
202OCSD,OIL CREEK SD
202ODVCM,ORDOVICIAN MIDDLE
202OLCK,OIL CREEK
202OLCK1,OIL CREEK 1
202OLCK2,OIL CREEK 2
202OLCK3,OIL CREEK 3
202OLCKL,OIL CREEK LOWER
202OLCKM,OIL CREEK MIDDLE
202OLCKU,OIL CREEK UPPER
202OLCS,OIL CREEK SH
202OLCSR,OIL CREEK / SYCAMORE
202OLDS,OLDS
202PCNC,PECATONICA /DOLO/
202PLTN,PLATTIN /LM/
202PLVL,PLATTEVILLE
202PNTVL,PENTERS VIOLA
202PPLS,POINT PLEASANT /LM/
202PRSR,PROSSER
202SAND,ORDOVICIAN CHAMPLAINIAN SAND
202SCLD,SCHOOL LAND/SD/
202SHNDE,SIMPSON / HUNTON / DEESE
202SKTRN,SKINNER / TRENTON
202SLKPT,SIMPSON / LANSING-KANSAS CITY / PLATTSMOUTH / TORONTO
202SMND,SIMPSON SD D
202SMNL,SEMINOLE /ORDOVICIAN/
202SMPA,SIMPSON SD A
202SMPB,SIMPSON SD B
202SMPD,SIMPSON DENSE
202SMPD2,SIMPSON DENSE 2
202SMPDU,SIMPSON DENSE UPPER
202SMPL,SIMPSON LM
202SMPOC,SIMPSON / OIL CREEK
202SMPS,SIMPSON
202SMPS1,SIMPSON 1
202SMPS2,SIMPSON 2
202SMPS3,SIMPSON 3
202SMPSD,SIMPSON DOLO
202SMPSL,SIMPSON LOWER
202SMPSM,SIMPSON MIDDLE
202SMPSU,SIMPSON UPPER
202SMPSZ,SIMPSON ZONE
202SMPUV,SIMPSON UPPER / VIOLA
202SMPWD,SIMPSON DOLO / WOODFORD
202SMSBS,SIMPSON BASAL SD
202SMSL,SIMPSON / SQUIRREL
202SMVLB,SYCAMORE/VIOLA/BROMIDE
202SNDS,SNEEDS
202SNHAM,SIMPSON / HUNTON / ATOKA MIDDLE
202SNHWS,SIMPSON / HUNTON / WOODFORD / SYCAMORE
202SNLKC,SIMPSON / LANSING-KANSAS CITY
202SNMLO,SIMPSON / MISSISSIPPIAN LIME / OSWEGO
202SNNP,SINNIPEE
202SNOEM,SIMPSON / OSAGE/LM/
202SNRVL,SENORA / VIOLA
202SNSPO,SIMPSON / SPIRO
202SNSRF,SIMPSON / SPIRO / RED OAK / FANSHAWE
202SNUHY,SIMPSON UPPER / HOMINY
202SNVAC,SIMPSON / VIOLA / CROMWELL
202SNVHM,SIMPSON / VIOLA / HUNTON / MERAMEC
202SNVMC,SIMPSON SD / VIOLA / MISSISSIPPIAN CHERT
202SOCLS,SPIRO / CROMWELL / SIMPSON
202SPCF,SPECHTS FERRY /SH/
202SPIN,SPAIN
202SPINL,SPAIN LOWER
202SPINU,SPAIN UPPER
202SPINZ,SPAIN ZONE
202SPSD,SIMPSON SD
202SPSDC,SIMPSON/SD/ C
202SPSDF,SIMPSON SD F
202SPSL,SIMPSON SH
202SRVL,STEWARTVILLE
202SRVR,STONES RIVER
202SSBRO,SIMPSON / SPIRO / BRAZIL / RED OAK
202SSHNE,SIMPSON / HUNTON / EARLSBORO
202SSNCD,SIMPSON/SD/ / CLEVELAND
202STMPZ,STAMPER ZONE
202STON,STONE
202STPL,ST PAUL
